condition,method,targets,mean_best_of_k_tm_like,mean_tm_like_regret,oracle_hit_rate,repeat
shuffled_group,group_calibrated_hybrid,10,0.09621684642361408,0.22859534737652681,0.0,11
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,11
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,11
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,11
shuffled_group,group_mean,10,0.2087974317815005,0.11601476201864039,0.2,12
shuffled_group,group_calibrated_hybrid,10,0.20300937700972063,0.12180281679042024,0.2,12
shuffled_group,group_oracle_rate,10,0.16868398256798262,0.15612821123215825,0.2,12
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,12
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,12
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,12
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,12
shuffled_group,group_calibrated_hybrid,10,0.1337794192081045,0.19103277459203638,0.1,13
shuffled_group,group_oracle_rate,10,0.1694453335304618,0.15536686026967908,0.0,13
shuffled_group,group_mean,10,0.15338836110370152,0.17142383269643932,0.0,13
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,13
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,13
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,13
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,13
shuffled_group,group_mean,10,0.21744096554730255,0.10737122825283829,0.1,14
shuffled_group,group_calibrated_hybrid,10,0.15430870654540169,0.17050348725473918,0.0,14
shuffled_group,group_oracle_rate,10,0.12914527240765483,0.19566692139248604,0.0,14
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,14
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,14
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,14
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,14
shuffled_group,group_mean,10,0.13649913791133667,0.1883130558888042,0.0,15
shuffled_group,group_oracle_rate,10,0.13327298278068936,0.19153921101945148,0.0,15
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,15
shuffled_group,group_calibrated_hybrid,10,0.10173810541581396,0.22307408838432688,0.0,15
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,15
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,15
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,15
shuffled_group,group_oracle_rate,10,0.12397623618929801,0.20083595761084286,0.0,16
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,16
shuffled_group,group_mean,10,0.0922050585004622,0.23260713529967864,0.0,16
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,16
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,16
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,16
shuffled_group,group_calibrated_hybrid,10,0.050061547238816194,0.27475064656132464,0.0,16
shuffled_group,group_mean,10,0.15839326901279954,0.16641892478734127,0.0,17
shuffled_group,group_calibrated_hybrid,10,0.1441687936284076,0.18064340017173325,0.0,17
shuffled_group,group_oracle_rate,10,0.13178145301650956,0.1930307407836313,0.0,17
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,17
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,17
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,17
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,17
shuffled_group,group_oracle_rate,10,0.13123948452239007,0.19357270927775078,0.0,18
shuffled_group,group_mean,10,0.12176808414626558,0.20304410965387526,0.0,18
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,18
shuffled_group,group_calibrated_hybrid,10,0.09008974733883698,0.23472244646130389,0.0,18
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,18
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,18
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,18
shuffled_group,group_mean,10,0.23275470419283578,0.0920574896073051,0.1,19
shuffled_group,group_oracle_rate,10,0.10803860462155872,0.2167735891785821,0.1,19
shuffled_group,group_calibrated_hybrid,10,0.1289583867432289,0.19585380705691197,0.0,19
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,19
