condition,target_id,method,oracle_candidate,oracle_group,oracle_tm_like,selected_top1_candidate,selected_top1_group,selected_best_in_top5_candidate,selected_best_group,best_of_5_tm_like,tm_like_regret,oracle_in_top5
mask_oracle_group,R1149,group_mean,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS232_5,TS232,casp15_R1149TS232_5,TS232,0.1226556815639174,0.1241320804331317,False
mask_oracle_group,R1149,group_oracle_rate,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS232_3,TS232,casp15_R1149TS232_5,TS232,0.1226556815639174,0.1241320804331317,False
mask_oracle_group,R1149,group_calibrated_hybrid,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS177_1,TS177,casp15_R1149TS232_5,TS232,0.1226556815639174,0.1241320804331317,False
mask_oracle_group,R1156,hybrid,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS177_1,TS177,casp15_R1156TS238_4,TS238,0.0333248825864672,0.23050568997503268,False
mask_oracle_group,R1156,compact,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS177_1,TS177,casp15_R1156TS235_5,TS235,0.0404463493129894,0.22338422324851048,False
mask_oracle_group,R1156,low_clash,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS029_1,TS029,casp15_R1156TS239_1,TS239,0.0533013756564594,0.2105291969050405,False
mask_oracle_group,R1156,contact,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS177_1,TS177,casp15_R1156TS238_4,TS238,0.0333248825864672,0.23050568997503268,False
mask_oracle_group,R1156,group_mean,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS232_5,TS232,casp15_R1156TS232_3,TS232,0.0955643613970985,0.16826621116440138,False
mask_oracle_group,R1156,group_oracle_rate,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS232_5,TS232,casp15_R1156TS232_3,TS232,0.0955643613970985,0.16826621116440138,False
mask_oracle_group,R1156,group_calibrated_hybrid,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS232_5,TS232,casp15_R1156TS232_3,TS232,0.0955643613970985,0.16826621116440138,False
