heldout_oracle_group,model,feature,importance
TS285,invariant_rf,long_contact_fraction,0.00531441851519817
TS285,invariant_rf,near_distance_fraction,0.004435451401361166
TS285,invariant_rf,distance_p10,0.03928212137669752
TS285,invariant_rf,distance_p25,0.0031878502774498425
TS285,invariant_rf,distance_p50,0.00392895502187238
TS285,invariant_rf,distance_p75,0.019866579113871907
TS285,invariant_rf,distance_p90,0.12473567868715175
TS285,invariant_rf,local_step_mean,0.0032946007796762025
TS285,invariant_rf,local_step_std,0.004714348371563965
TS285,invariant_rf,local_step_max,0.014748755865593566
TS285,invariant_rf,turn_angle_mean,0.003788303238688074
TS285,invariant_rf,turn_angle_std,0.002221051656681915
TS285,invariant_rf,helix_like_local_fraction,0.0009524312862045644
TS285,invariant_rf,target_z_radius_of_gyration,0.013122824008160455
TS285,invariant_rf,target_z_end_to_end_distance,0.008381353484242696
TS285,invariant_rf,target_z_contact_density,0.004900886342823693
TS285,invariant_rf,target_z_long_range_contact_density,0.0074322082091365866
TS285,invariant_rf,target_z_compactness,0.007518061092275762
TS285,invariant_rf,target_z_contact_degree_mean,0.004773983482002085
TS285,invariant_rf,target_z_contact_degree_std,0.005025056325576631
TS285,invariant_rf,target_z_contact_degree_max,0.004062428094411558
TS285,invariant_rf,target_z_contact_degree_gini,0.2244630385592803
TS285,invariant_rf,target_z_contact_order,0.0120147527344918
TS285,invariant_rf,target_z_distance_p50,0.015189365188288626
TS285,invariant_rf,target_z_local_step_mean,0.004160842483366855
TS285,invariant_rf,target_z_turn_angle_mean,0.004114372360896057
